"STATION","DATE","SOURCE","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","AA1","AA2","AY1","AY2","AZ1","AZ2","CALL_SIGN","CIG","DEW","EQD","GA1","GA2","GA3","GE1","GF1","IA1","KA1","KA2","MA1","MD1","ME1","MW1","QUALITY_CONTROL","REM","REPORT_TYPE","SLP","SOURCE","TMP","VIS","WND"
"42367099999","2001-05-26T18:00:00","4","FM-12","VICX ","V020","00,0130,9,1","15,0130,9,1","9,1,06,1","6,1,06,1",,,"VICX ","03600,1,C,N","+0216,1",,"03,1,+00600,9,06,9","01,1,+00900,9,09,9",,,"06,99,1,04,1,03,1,00800,1,03,1,00,1",,,,"99999,9,09456,1","9,9,999,9,+023,1",,"29,1","V020","SYN100AAXX  26184 42367 21596 60708 10254 20216 39456 40034 72996 84330 333 58023 6013/ 83620 81930 83360;","FM-12","10034,1","4","+0254,1","004000,1,N,1","070,1,N,0041,1"
"42367099999","2001-05-29T18:00:00","4","FM-12","VICX ","V020","99,0000,9,1",,,,,,"VICX ","22000,1,9,N","+0171,1","Q01  00002PRCP99","02,1,+00750,9,08,9",,,,"04,99,1,02,1,05,1,00800,1,03,1,00,1",,,,"99999,9,09439,1","9,9,999,9,-007,1",,,"V020","SYN082AAXX  29184 42367 32596 42507 10314 20171 39439 40002 82530 333 59007 82825 83360;","FM-12","10002,1","4","+0314,1","004000,1,N,1","250,1,N,0036,1"
"42367099999","2001-11-08T18:00:00","4","FM-12","VICX ","V020",,,,,,,"VICX ","22000,1,9,N","+0105,1",,"00,1,+99999,9,99,9",,,,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,,,,,,,"V020","SYN064AAXX  08184 42367 1/96/ 00000 10150 20105 40157 8/500 333 91003;","FM-12","10157,1","4","+0150,1","999999,9,N,1","999,9,C,0000,1"
"42367099999","2002-04-28T00:00:00","4","FM-12","VICX ","V020","99,0000,9,1",,"0,1,06,1","0,1,06,1",,,"VICX ","22000,1,9,N","+0030,1","Q01  00002PRCP99","00,1,+99999,9,99,9",,,,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,,,,"9,9,999,9,-049,1",,"06,1","V020","SYN064AAXX  28004 42367 31996 02304 10306 20030 49996 70600 333 59049;","FM-12","09996,1","4","+0306,1","004000,1,N,1","230,1,N,0021,1"
"42367099999","2002-07-15T12:00:00","4","FM-12","VICX ","V020","99,0000,9,1",,,,,,"VICX ","00420,1,9,N","+0275,1","Q01  00002PRCP99",,,,,"08,99,1,08,1,07,1,00450,1,99,9,99,9",,"120,M,+0322,1",,,"9,9,999,9,-016,1",,,"V020","SYN070AAXX  15124 42367 32496 82702 10294 20275 40043 887// 333 10322 59016;","FM-12","10043,1","4","+0294,1","004000,1,N,1","270,1,N,0010,1"
"42367099999","2002-08-04T12:00:00","4","FM-12","VICX ","V020","09,0010,9,1",,"9,1,06,1","5,1,06,1",,,"VICX ","00900,1,C,N","+0248,1",,"02,1,+00750,9,06,9","03,1,+00900,9,08,9","05,1,+03000,9,03,9",,"07,99,1,03,1,04,1,00800,1,03,1,01,1",,"120,M,+0340,1",,,"9,9,999,9,+021,1",,"02,1","V020","SYN106AAXX  04124 42367 21596 73208 10274 20248 49983 70295 83431 333 10340 58021 6001/ 82625 83830 85360 87070;","FM-12","09983,1","4","+0274,1","004000,1,N,1","320,1,N,0041,1"
"42367099999","2002-08-20T18:00:00","4","FM-12","VICX ","V020","15,0005,9,1",,,,,,"VICX ","99999,9,9,N","+0218,1",,"03,1,+00300,9,07,9",,,,"08,99,1,99,9,99,9,00450,1,99,9,99,9",,,,"99999,9,09449,1",,,,"V020","SYN103AAXX  20184 42367 22496 80000 10244 20218 39449 40025 873/ 333 58/07 6995/ 83710 84/87/ 1/-1 42675 NIL;","FM-12","10025,1","4","+0244,1","004000,1,N,1","999,9,C,0000,1"
"42367099999","2002-08-22T00:00:00","4","FM-12","VICX ","V020",,,,,,,"VICX ","99999,9,9,N","+0215,1",,,,,,"06,99,1,99,9,99,9,00800,1,99,9,99,9",,,,,,,,"V020","SYN086AAXX  22004 42367 22596 63203 10230 20215 /CKRNZAEYWP /./ -40/////7 39/59 8/480 85368;","FM-12","99999,9","4","+0230,1","004000,1,N,1","320,1,N,0015,1"
"42367099999","2002-09-20T18:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,"0,1,06,1","0,1,06,1",,,"VICX ","22000,1,9,N","+0225,1","Q01  00002PRCP06","00,1,+99999,9,99,9",,,,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,,,,"9,9,999,9,-018,1",,"05,1","V020","SYN064AAXX  20184 42367 31996 00000 10258 20225 40090 70500 333 59018;","FM-12","10090,1","4","+0258,1","004000,1,N,1","999,9,C,0000,1"
"42367099999","2003-01-12T18:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,"4,1,06,1","4,1,06,1",,,"VICX ","00015,1,9,N","+9999,9","Q01  00002PRCP06","09,1,+99999,9,99,9",,,,"09,99,1,09,1,99,9,99999,9,99,9,99,9",,,,,"9,9,999,9,-001,1",,"47,1","V020","SYN064AAXX  12184 42367 31/90 90000 10076 208/2 40222 74744 333 59001;","FM-12","10222,1","4","+0076,1","000000,1,N,1","999,9,C,0000,1"
